"Company ID","Name","Company Domain Name","Website URL","Phone Number","Vertical","Size ","New Tier","Source","LinkedIn Company Page","Lead Status","Lifecycle Stage","Subscription status","Company owner"
"885736706","INDUKERN","indukern.es","indukern.es","34 93 506 91 00","","","","","https://www.linkedin.com/company/indukern-s.a.","Qualified","Customer","Active","Guillermo Oller"
"1185697159","AROMAKERN","","","","","","","","","","Customer","","Guillermo Oller"
"1038877194","manicura.es","manicura.es","manicura.es","","","","","","","","Customer","Active","Guillermo Oller"
"2322310937","consuelastore.com","consuelastore.com","consuelastore.com","","","","","","","Qualified","Customer","Canceled","Pia Alva (Deactivated User)"
"3705823172","IKEA","ingka.ikea.com","ingka.ikea.com","0034 6108340180","","","","Outbound","https://www.linkedin.com/company/ikea-group","Nurturing","Lead","Lead","Guillermo Oller"
"2557357907","Pharmex Advanced Laboratories S.L.","pharmex.es","pharmex.es","","Pharma","","Tier 2","Outbound","https://www.linkedin.com/company/pharmex-advanced-laboratories-s-l","","Opportunity","Trial","Pia Alva (Deactivated User)"
"3388249506","T4XI","t4xi.com","t4xi.com","(+34) 934 675 052","","","","","https://www.linkedin.com/company/t4xi","","","",""
"2850543467","La Tele Producciones","lateleproducciones.com","lateleproducciones.com","","","","","","","Qualified","Customer","Active","Pia Alva (Deactivated User)"
"3434654426","sdafactory.com","sdafactory.com","sdafactory.com","","","","Tier 3","","","Contacted","","Lead","Guillermo Oller"
"3376164698","royalbronze.com","royalbronze.com","royalbronze.com","","","","","","","Discarded","","Lead","Guillermo Oller"
"3362055427","NADIPRANA SL","zumononi.com","zumononi.com"," +34 977610578","","","","","","","","Active",""
"3891079354","TIPSA","tip-sa.com","tip-sa.com"," +34 902 10 10 47","","","","","https://www.linkedin.com/company/tipsa","","","Lead","Ezequiel Lacabanne (Deactivated User)"
"3380483247","benito","benito.com","benito.com","34 93 852 10 00","","","","","https://www.linkedin.com/company/benito-urban","","","Active","Guillermo Oller"
